Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0201_0603Metric,108.66,-46.715,90,top
C2,10uF,C_0201_0603Metric,104.205,-45.76,0,top
C3,1uF,C_0402_1005Metric,109.75,-72.33,90,top
C4,0.1uF,C_0402_1005Metric,111.3,-60.03,0,top
C5,0.1uF,C_0402_1005Metric,107.61,-57.75,-90,top
C15,33pF,C_0402_1005Metric,104.09,-75.61,90,top
C16,33pF,C_0402_1005Metric,108.51,-76.33,-90,top
C17,.1uF,C_0402_1005Metric,108.83,-72.33,-90,top
C18,1uF,C_0402_1005Metric,102.8,-68.35,0,top
C19,0.1uF,C_0402_1005Metric,104.12,-63.32,0,top
C20,0.1uF,C_0402_1005Metric,113.44,-63.05,180,top
C21,.1uF,C_0402_1005Metric,111.36,-61.69,-90,top
C22,0.1uF,C_0402_1005Metric,112.28,-61.67,-90,top
C23,0.1uF,C_0402_1005Metric,114.61,-67.7,180,top
C24,0.1uF,C_0402_1005Metric,108.53,-58.17,-90,top
C25,.1uF,C_0402_1005Metric,109.45,-58.17,-90,top
C26,0.1uF,C_0402_1005Metric,106.24,-58.5,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,108.77,-39.72,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,99.87,-38.59,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,117.68,-38.59,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,106.23,-86.63,90,top
R1,5.1K,C_0402_1005Metric,111.75,-45.45,0,top
R2,5.1K,C_0402_1005Metric,108.07,-45.45,180,top
R3,27,C_0402_1005Metric,109.52,-61.69,-90,top
R4,27,C_0402_1005Metric,110.44,-61.69,90,top
R5,1K,C_0402_1005Metric,108.51,-74.16,-90,top
R6,10K,C_0402_1005Metric,104.45,-47.02,90,top
R7,1K,C_0402_1005Metric,104.2,-48.39,180,top
R8,1K,C_0402_1005Metric,108.38,-78.48,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,106.55,-51.6,90,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,107.45,-80.65,0,top
U1,MCP1700x-330xxTT,SOT-23,106.61,-46.9175,90,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,108.78,-66.73,0,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,105.395,-60.25,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,106.3,-75.35,90,top